idx	index	artists	name	danceability
20480	20480	['Ruel']	Don't Tell Me	0.565
27763	27763	['Public Enemy']	Harder Than You Think	0.484
31093	31093	['Lenin Ramírez', 'Grupo Firme']	Yo Ya No Vuelvo Contigo - En Vivo	0.644
8889	8889	['Keith Sweat']	How Deep Is Your Love - 2007 Remaster	0.587
33252	33252	['Lil Tjay', 'Jay Critch']	Ruthless (feat. Jay Critch)	0.521
16651	16651	['Nina Nesbitt']	The Best You Had	0.690
7004	7004	['Aretha Franklin']	(You Make Me Feel Like) A Natural Woman	0.605
20836	20836	['Bruno Major']	The Most Beautiful Thing	0.806
21160	21160	['Evanescence']	Bring Me To Life	0.331
721	721	["'Legally Blonde' Ensemble", 'Michael Rupert'...	Whipped into Shape	0.718
23247	23247	['Los Incomparables De Tijuana']	El Numero Uno	0.755
5345	5345	['Crazy P']	Heartbreaker	0.896
6061	6061	['Omar Apollo']	Unbothered	0.641
37716	37716	['Pepper']	Tradewinds	0.728
25639	25639	['Limp Bizkit']	Break Stuff	0.427
601	601	['Lacuna Coil']	Enjoy the Silence - cover version	0.503
40806	40806	['Los Alegres Del Barranco']	El Caballero	0.701
40177	40177	['Third Eye Blind']	Semi-Charmed Life - 2006 Remaster	0.632
5814	5814	['Ruelle']	I Get to Love You	0.335
7244	7244	['Jason Boland']	When I'm Stoned	0.665
3567	3567	['The Amity Affliction']	Don't Lean on Me	0.450
19545	19545	['New Found Glory']	The Promise	0.527
20608	20608	['Dominic Fike']	Babydoll	0.762
39054	39054	['Coleman Hell']	2 Heads	0.733
26300	26300	['Dirty Heads', 'Matisyahu']	Dance All Night	0.706
31183	31183	['Lil Uzi Vert']	I'm Sorry	0.858
18795	18795	['Eminem']	The Kids	0.755
17483	17483	['Banda Machos']	El Próximo Tonto	0.739
12253	12253	['Laura Dreyfuss', 'Michael Park', 'Jennifer L...	Requiem	0.409
12397	12397	['Alan Walker', 'Julie Bergan', 'K-391', 'SEUN...	Ignite	0.681
38508	38508	['Black Eyed Peas']	Don’t Stop The Party	0.869
16871	16871	['Eazy-E']	Real Muthaphuckkin' G's	0.719
37190	37190	['Powfu', 'Sarcastic Sounds']	I Can't Sleep	0.805
10465	10465	['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']	Despacito - Remix	0.688
39480	39480	['Justin Bieber']	Habitual	0.764
17071	17071	['Sammy Hagar']	Heavy Metal	0.311
4963	4963	['Atreyu']	Falling Down	0.443
33729	33729	['Klaus Badelt']	The Black Pearl	0.300
18475	18475	['sadeyes']	jaded	0.703
33368	33368	['Kenny Chesney']	That's Why I'm Here	0.648
29140	29140	['Drake']	Losses	0.551
40992	40992	['5 Seconds of Summer']	Beside You	0.380
2258	2258	['Rayito Colombiano']	Te Extraño Tanto	0.588
4409	4409	['Selena']	Como La Flor - Remastered	0.597
